id,annotations,tweets
747165708761600001,"[1389, 1620]","Had a great time with you too @MaveEvans @swimmerboy36 
Bergen 🤔 Will check finances, that's if there's still a spare bed 😊"
747861982536171521,[1389],@PlasticRobbie even 5 minutes is not selfish every minute can make a difference 😊
741346138935025664,[1389],@officialmohamad math disorder dummy . That's a neck for you 😊
743679514794876928,[1389],No worries I'll be okay 😊
742438257133268992,[1389],"when he supports, motivates, calls randomly, ft randomly, sends sweet messages, ask for your opinion b4 doing anything &amp; always wants you 😊"
741771023549272064,[1389],Anyone wanna go to canes ? 😊
747189950957912064,[1389],"@iamstephbeatz Yep, you are the best person on instagram, you are so amazing 😊"
747297134597181440,"[1389, 1403]","@Lina_thxgdness awwr, yes Lina 😊 Thank you so much 😘💜"
747995622565806080,[1389],Yass see you 12-Curie 😊
742936902655971328,[1389],RT @CampaignShaddy: Hypocrites stay away 😊
744951038243909632,[1389],@xo_gibbydgaf thanks gibby! 😊
744382505088851968,[1389],@Ariannaaaa__ oh and thank you 😊
746423018193362944,[1389],My work auntie treated me to lunch today 😊
744373609557200896,[1389],I'm ok im just tired 😊
748333016162926593,[1389],"Magnets x Lorde is a good song, maybe that seemed like a subtweet lmao but good to know 😊"
744935092124934145,[1389],@TravelAtWill Wow what a view!  Looks like you are going to have the best afternoon! 😊
748360966065258496,[1389],@SuzannePinkston lol. Thank you 😊 and just let me know 😌
745066192512098305,[1389],"I was tried so hard today
I'm such a dub
Tomorrow is a new day though sooooo yea 😊"
748540085298204676,[1389],"@taniaxmichele thank you! Snap, gonna do a deep face mask when I get home 😊 xx"
747883975574716416,[1389],@zeusirons Today My Birthday Ayye 😊
748568365774442496,"[186, 1389]",@Skelefuku ❤️ thank youuu! 😊
746642700783390720,"[186, 1389]",RT @sarahid90: #GTOP  👉 👈 😊 ❤  jiyong  is fan numer one of his hyung always like take pic of him 📷 https://t.co/sb7hkp62av
744953823119085568,[1389],I will see the big lie of love 😊
746900647144890368,[1389],@Sweet_Loops aw thank you. 😊 Same goes for you
742943963615744000,[1389],Nvm send me emojis 😊
747453355291721728,[1389],And he just retweeted my tweet 😊
743496270476644352,[1389],@saroosri congrats 😤 for reached 500 followers 😊😊..keep rock 💃
748617729876316160,[1389],"Wow, so quick and easy! 😊 https://t.co/zg8MaoweJq"
