id,annotations,tweets
747855438276788224,[1420],Never had a nervous breakdown like that before 😩
744453368328904704,[1420],I'm shucking 😩
743337342312669184,[1420],I feel u 😩 #ALDUB11thMonthsary  https://t.co/SHi3lYdrdT
742079911754633216,[1420],Let me deep clean my apartment. I feel like shit still but I hate when my apartment is messy 😩
743631704062103552,[1420],My mama 😩 https://t.co/PLx66kDBju
742147224180658178,[1420],Another product of education budget cuts 😩 https://t.co/WGxgVy4LcX
741382878030794752,[1420],I miss training so much 😩
748130287243112448,[1420],Is anywhere hiring ?? 😩
742866793396621312,[1420],@classifiedhoe ur so cute omg 😩
741876538128228353,"[1403, 1420]",When He Helps And Support You ! 😩 And Also Make Your Night 😘 Goodnight 😏
742690876166701057,[1420],My only off day 😩
743161642003931136,[1420],RT @tpoodiebch: I been liked them 😩 they can dress🗣 https://t.co/9yOdlbA79r
743344807079116800,[1420],@Jemmss_96 😁😁. Regent street one 😩
744206253279281152,[1420],Getting my mind ready for this 1:30pm-1:30am shift. 😩
746933171195879424,[1420],RT @Allen_guwop: Beyond hungry 😩
747514002041798656,[1420],I miss my friend @aisha_MACC 😩
744739038913929216,[1420],Oomf got this one dimple that's always showing 😩
742095486266540032,[1420],there's a spider above my bed and nobody is home to take it away from me 😩 sOMEONE SEND ME HELP PLEASE
747882169712971776,[1420],#Sudburyhour 😩 cancelled this weekend due to flooding of field vintage rally @MelfordHallNT 😫
747434236165099520,[1420],If another person asks me why I have no make up on or if I've been crying I just may have to murder 😩
742571724806492160,[1420],You vs. them 😩
743966694633144320,[1420],I'm fuckin hurtin rn 😩
741632715406086149,[1420],Definitely Gotta Put Some Bday Plans In Motion!! Slackin Right Now 😩 #June22 #JusWaitOnIt
742223665689808896,[1420],"Got me calling my friends like ""damn he's the greatest"" 😩"
743970949729378304,[1420],RT @_puurplelover_: Mines really on point 😩 #Libra https://t.co/jmB4Pi0UgT
747668302185508864,[1420],He must be cold 😩 i wanna hug him to make him wa rmer https://t.co/aGwkmONMtU
742782373981474816,[1420],No matter how much sleep I get I'm always tired asf 😩
747483228085362688,[1420],@ShunGlizzy I meant mixed. 😩 and bring pissed was one of them. Sam ass was gay &amp; messed up Kerri's mental train of thought to feel straight
747579001074556928,"[1381, 1420]",@amtaaf_ 😂 Or When Someone Says Something And The Camera Man Goes To Every Character &amp; Shows Their Facial Expression With Dramatic Music 😩
746580822606680064,"[763, 1420]",@ShootaScoota Love you bro I know you watching down on us 🙏🏽💔😩 crazy how shit turned out liked this 😓
743619428542078976,[1420],Please if anyone has any dry itchy scalp remedies send me my way. I've tried everything 😩
747068142543835136,[1420],Please if anyone has seen @liadisumbo tell her I miss her 😩
741444339088429057,[1420],I miss my bf soo much 😩
746782243230785536,"[1420, 1424]","@fuckthaasystem lmao you a mess😭 but omg when I get back from Jersey, I REALLY need to make an appointment w/ you. 😩"
743649818963116032,"[1381, 1420]",RT @_BisshWHET: @itsKWEENkay I already know 😩 I thought this out thoroughly 😂😂
742067230947434496,"[1420, 1447]",I been suspended this whole week 🙄 Mrs.Lisaa bless me with some hours my check need to be at least 2 something man 😩
747398024473755648,[1420],Schedule is all messed up 😩
743243824789479424,"[186, 1420]","GO WATCH @natekgarner's NEW VIDEO WITH HIS TWIN!! (i hope im not too late) 😩

like, subscribe, share 🙌🏼

https://t.co/M3RurSDCsT
ily ❤️ x9"
744447157831335936,"[1381, 1420]",promise you 😩😂 https://t.co/TaYMTcFxqG
748059578449829888,[1420],I have to go to HHN this year 😩
747393427193630720,[1420],My weekend needs a weekend 😩
744313852884451328,[1420],It's too hot out here I need to go back home 😩
742020264813301760,[1420],RT @LaVieBellla: Yesterday was Super Lit 😩
742591529290727425,[1420],2:00 need to hurry up 😩 ready to go on lunch break
742093266036744192,[1420],Lamaria I need some milk 😩
747295202084167684,[1420],Waiting for a good summer night 😩
747439769706192896,[1420],Someone buy me a puppy please 😩
746788760390504448,[1420],To get litty or to not get litty tonight. 😩
741772557452353536,[1420],ugh fixing my stuffs for school already ugh 😩
746383381491916800,[1420],They taking all day to bring my food out 😩
748369582667276288,"[1420, 1424]",Wood and weed at home waiting on me. 😭 can't wait to get off 😩
743617814255255553,[1420],I wanna see @cavs win the finals just because they city aint win shit since 1964 😩
742470632357695489,[1420],"When you are about to finish an episode and sleep, something interesting will just happen at the end.You just gotta watch the next episode 😩"
742183797119168512,[1420],wish I was😩💗 https://t.co/0zTgDg8WU2
742457164552245248,"[186, 1389, 1420]",Good morning mama @DawnZpost 😊 super early up for school 😩 I love you ❤
743622254454530048,[1420],Why I didn't just take the Merritt 😩
743613744408895488,[1420],Her voice 😩 https://t.co/DqzZqPhv0l
747575687121412096,[1420],RT @Simply_Shay1: They can have some of mine 😩 https://t.co/m1JyLOfz7X
744783073103929344,[1420],"I hold my balloons 🎈 I want to give you 🙆 but you was away 😩 where are you? 🏃 I will find you,… https://t.co/fLJs4IrG0n"
744970001094950913,[1420],How did the Flash get the least 😩 he's def second after Batman https://t.co/wZ2TzVdWd1
747683251154731008,"[1420, 1424]",RT @Taliban071: @4EvaBigPink 😩 hell nah I fuck around break the bitch neck 😭
741861043211800576,"[1392, 1420]",Lord have mercy 😩 daddyyyyyyyy 😍💦😛 https://t.co/XIh8yvRqpT
744054132747735040,[1420],"CHEATiNG Is A CHOiCE
Not A MiSTAKE -
LOYALTY Is A RESPONSiBLE
Not A CHOiCE -
#Hmmmm 😩"
743665689118924801,[1420],I Really Miss My B E S T F R I E N D 😩 I Hope She Having Fun In Florida ☺️ @Tiairra3
742222402453528576,[1420],peeped so much shit prom weekend it's wild 😩
744778138538807296,[1420],@MAEEEE0805 @marsianfrommars i miss us 😩 girls day out pls :(
746936858135826433,[1420],Work early in da morning 😩
743972116027039744,[1420],Finding dory was so amazing 😩 Got me in my feelings yo
744869804549472256,"[1420, 1620]",Fucking With This Parade ! 😩 Who wann go to the Parade Wid me? 🤔
742596247958130688,[1420],"It was so cute, I felt so special 😩✨ https://t.co/kjf0l9Zyw1"
742614549451264000,[1420],@Monty_Ross32 y'all niggas too much 😩
746932576061796352,[1420],@Rob_Gee7 tootsies 😩
742915085941739524,"[763, 1420]",@AZ_Charlene 😩🙏🏽 so perfect!!! im looking for it now thank you 🙂
746936755878830080,[1420],RT @ibreannajones: @MontesBria oh my god ihysm 😩
742572975539560448,[1420],One episode of criminal minds and then im going to bed 😩
743995098271203328,"[1392, 1420]",RT @ArieTheHomie: Omg 😩 she's so cute 😍
742669990835425280,[1420],I am starving!!!! 😩
743471373058777088,[1420],@ayanna_long @NanaLuster99 miss you too 😩
742782455015428097,[1420],@Chris__Cvg chill zeek i ain't tryn be in the mix of nun of this 😩
742075817593733121,[1420],Why do it keep raining 😩
746996133830995968,[1420],RT @Dassj_: I want my boyfriend rn 😩
747680762577698816,[1420],@wendyyt_ bitch that was not your first time you burnt them and you didn't put cooking spray 😩 I make soup on the stove you fucking idot
743987621068578816,"[1420, 1424]",Okay Okay Okay!!!! Time for #Outcast 😐 and I am already scared just with the opening scene!!!! 😨 😩😭😓😓
742025767396204544,[1420],I can't wait to see my cousins when I get back 😩 I miss them☹️
743499858410094592,[1420],"I really have no life without Ant , I just don't ever wanna do anything without em 😩"
746378932820283392,[1420],"Ag, I'm not answered. I wanted to know about the bleaching. 😩"
743539580931031040,[1420],"He potentially made Louis laugh, so he can stay, but I still wanna know! 😩 https://t.co/aFPChuMfjM"
742803957937012736,[1420],Oh we knew lol RT @MilynJensen_&lt;-- devil 😈 RT @MsMyaG I said I wasnt drinking today but the devil is in my text talking about 🌮 Tuesday 😩
747885072028737536,"[1420, 1447]",👯👸🏾 - You're soo pretty 😩 like how is it even possible? 🙄
743649355756896256,[1420],Just broke a nail 😩
743653247567560704,[1420],I so fucking dramatic 😩
747181730918895616,"[1420, 1424]",I wanna be fruity like that but none of my straight friends wanna be fruity with me 😭😩 https://t.co/p2YB4TOfZh
746782288147587072,[1420],What is everyone doing today? I'm bored 😩
744867534395084800,[1420],No way 😩 https://t.co/PxqgXCnzCs
744550115973619712,"[1381, 1420, 1424]",Later Battle of the Bastards and NBA Finals. Oh God I'm torn between two lovers. 😂💔😔😩😭 #gameoftrones #NBAFinals 🏀
744220888468430848,[1420],I've been at work for 2.5 hours &amp; I'm not mentally prepared for the next 5.5 😩
747670976209498112,[1420],RT @Horny_Bastardd: wow I'm hungry 😩
742585686369390592,[1420],I really could use a massage 😩
746792592076079104,[1420],I wanna Update my phone to the iOS 10 but I'm scared 😩
744057916798472192,[1420],RT @DaniBre_: tired as hell 😩
744232143241486337,[1420],I feel so depressed today 😩
746791807577624576,[1420],"That 3rd really fucked me up lol, I'm just now waking up 😩"
742587110062854144,[1420],RT @yabitchdaia: I want a girlfriend 😩
742866450340151297,[1420],@_NikoHeat everyone 😩
741319492521873408,[1420],Under the dryer 😩
747514389503193088,[1420],I want to go skating 😩
743507099955638272,[1420],"@chrisishh I know me too, I'm at work until 11 and probably won't get home till 12 😩"
741084032314773504,[1420],RT @selena_wise14: I'm not looking forward to this moment 😩💔 https://t.co/iLPMEFJ4Iz
747484113179803649,[1420],Yes. Y? 😩 https://t.co/RWcV0cT23x
743319546996498434,[1420],Oh god am I going to get a nap? It's almost three hours past my bed time but I care 😩
744310553850437633,[1420],I want a silk press 😩
748060824095186944,[1420],I'm so dam sleepy 😩
744287998724956160,[1420],At home ice bath 😩
741380778529980416,"[1392, 1420]",everyone retweet so we can find this girl 😩 i'm in love 😍 https://t.co/LSigjKPhlG
743308682511818752,[1420],"&amp; once ya girl make it, they gone wanna take it. 😩"
746754647617048576,"[1403, 1420]",@SadityDollBri wow he passed on my birthday 😩keep your head up boo 😘
743282987987406848,[1420],I love being a Pisces and keeping me interested is so hard 😩
743147617522061312,[1420],I hate the fact that my friends and I are adults and have jobs. trying to get together is so hard now 😩
742019908528136192,[1420],Idk why I'm so fuckin tired today 😩
742557066011774976,[1420],"I miss you more 😩 , and you'll be back soon ☺️ https://t.co/mAmlOX4OSf"
746987854300065792,[1420],@ClaireBear8899 I can't even think about food right now nigga I need a nap 😩
742072056057974784,"[1381, 1420]",@alygur eh walao the movie cliffhanger or what sia 😂!!! 😩
742633933766942720,"[1420, 1424]","Hey @StageAmerican  , not happy that our flight crew is an hour late which means so is our flight! 😡Maybe they ☺ ⛰️ ✍ ❣ ☠ 😩 😌 😭 😵 😱  🔑 to!"
747436969462894592,[1420],What should I eat today 😩
744041283157639172,[1420],I hardly ever break out &amp; only I would the day before my tias wedding 😩
744121569593569281,[1420],I can't sleep with my nipples like this 😩 can they not be sensitive anymore please
742594613609910272,[1420],RT @imthatFLYE__: i want another hairstyle 😩
743275482586677248,[1420],Work my ass off in school just so I can succeed 😩
747067285131657216,[1420],But I don't feel like spending that much money bc this one was $400+ 😩
