id,annotations,tweets
744157633821704192,[1446],"@jttmmangwiro Thanks for the retweet James 😎  check out Click Intensity too, you'll love it 🙃 https://t.co/CAaGnvjLlk"
747872259411427328,[1446],RT @Ps_HeKissedME: Same 🙃 https://t.co/fyGni0XWB5
743926894664499200,[1446],i bet you have these damn kids aint eem see finding nemo yet 🙃 https://t.co/1as1vp71YF
741480148348866561,[1446],I'm beyond irritated tonight 🙃
744001369510666241,[1446],I love working 11 hour shifts 🙃
748349197577908224,"[1392, 1446]","💍®

Qt 😍😍😍 .. Fw my pin tweet 🙃"
747506797221650432,[1446],Well that lead lasted long 🙃
742084665964679168,[1446],@lydia_ott I miss u even tho I know u r only my friend bc I make u look tanner 🙃
743933919481987074,[1446],My mom can be on Facebook and not text me back 🙃
741821867288231936,[1446],RT @NzingaL: das my baby daddy 😋 and I love him so much . and I will murder any Bitch who tries to get in between us 🙃 https://t.co/VTNcYKD…
747811896959471618,[1446],RT @SUMbodytolove_: 15 minute breaks feel like 5 minutes and 30 minute breaks feel like 15 🙃
743296684013170689,"[1381, 1446]",🙃 this is true 😂 https://t.co/YgYFiYpE58
747912989555064832,[1446],when @Errykaah_ wants you to race the cop 🙃 #queputas
744187093291655168,[1446],RT @goghfuckoff: I wish I didn't have a job(or 2) so I can stay home and binge watch OITNB like last year but 🙃
742087068193554432,[1446],My day can start now 🙃
741721211281936385,[1446],Instead of working rn I'd rather lay in bed and eat my weight in cake. A girl can dream right 🙃
743510133876023297,[1446],We juuuusssst got this new car and now it's totaled 🙃
742779350681047040,[1446],RT @__ryanjoseph: I'm not a bad bitch I'm that bitch 🙃
743517086387838976,[1446],I'm so ready for my midday nap but unfortunately I'm at Marie Claire 🙃
743261771994136576,[1446],"what a long day it's been . 🙍🏾
but it went by pretty fast tho' . 🙃"
747914893270081537,[1446],@WhosYour_Kadii 🙃 you suck
746729921515560960,"[1446, 1447]",I think my mind too strong &amp; life too busy for all the games 😒🙄 I still try to make an effort with ppl tho &amp; it still doesn't work 🙃
742153357498818565,[1446],My niece: Karen they're making carnita outside lets go! 😆      Me: *sits on couch eating donut while watching The Office* mkay 🙃
745020753456730113,[1446],So happy to partake in Taco Tuesday this week! 🙃
747633597733961728,[1446],hey thanks friend. I feel like it's big af. 🙃 https://t.co/5lkDTs95PH
748606601905455104,[1446],"@Chaayos My bad!
Hvnt been thr 🙃"
742817118702297088,[1446],"@MarkusWalrus soon brother, i'll visit you'll there.. Hahaha 🙃"
748195660181102592,[1446],Summer's fun when you're not having a heat stroke 🙃
